hardware vs. memory (1000),,,
time+,buffalo,csel-kh1250-13,csel-kh1262-13
3125.81,1.4,,
3126.08,,1.2,
3126.16,1.4,,
3126.41,,1.2,
3126.5,1.4,,
3126.75,,1.2,
3126.84,1.4,,
3127.08,,1.2,
3127.18,1.4,,
3127.42,,1.2,
3127.52,1.4,,
3127.75,,1.2,
3127.87,1.4,,
3128.09,,1.2,
3128.21,1.4,,
3128.43,,1.2,
3128.55,1.4,,
3128.76,,1.2,
3128.89,1.4,,
3129.1,,1.2,
3129.23,1.4,,
3129.43,,1.2,
3129.57,1.4,,
3129.77,,1.2,
3129.92,1.4,,
3130.1,,1.2,
3130.26,1.4,,
3130.44,,1.2,
3130.6,1.4,,
3130.77,,1.2,
3130.94,1.4,,
3131.11,,1.2,
3131.28,1.4,,
3131.45,,1.2,
3131.62,1.4,,
3131.78,,1.2,
3131.97,1.4,,
3132.11,,1.2,
3132.31,1.4,,
3132.45,,1.2,
3132.65,1.4,,
3132.79,,1.2,
3132.99,1.4,,
3133.13,,1.2,
3133.33,1.4,,
3133.46,,1.2,
3133.68,1.4,,
3133.79,,1.2,
3134.02,1.4,,
3134.13,,1.2,
3134.36,1.4,,
3134.47,,1.2,
3134.71,1.4,,
3134.8,,1.2,
3135.05,1.4,,
3135.14,,1.2,
3135.39,1.4,,
3135.47,,1.2,
3135.74,1.4,,
3135.81,,1.2,
3136.08,1.4,,
3136.14,,1.2,
3136.42,1.4,,
3136.49,,1.2,
3136.77,1.4,,
3136.82,,1.2,
3137.11,1.4,,
3137.16,,1.2,
3137.45,1.4,,
3137.49,,1.2,
3137.79,1.4,,
3137.83,,1.2,
3138.14,1.4,,
3138.16,,1.2,
3138.48,1.4,,
3138.5,,1.2,
3138.82,1.4,,
3138.83,,1.2,
3139.16,1.4,,
3139.17,,1.2,
3139.5,1.4,,
3139.51,,1.2,
3139.84,1.4,,
3139.84,,1.2,
3140.18,1.4,,
3140.18,,1.2,
3140.51,,1.2,
3140.53,1.4,,
3140.85,,1.2,
3140.87,1.4,,
3141.18,,1.2,
3141.21,1.4,,
3141.53,,1.2,
3141.55,1.4,,
3141.86,,1.2,
3141.89,1.4,,
3142.19,,1.2,
3142.24,1.4,,
3142.53,,1.2,
3142.58,1.4,,
3142.87,,1.2,
3142.92,1.4,,
3143.21,,1.2,
3143.26,1.4,,
3143.54,,1.2,
3143.6,1.4,,
3143.87,,1.2,
3143.94,1.4,,
3144.21,,1.2,
3144.29,1.4,,
3144.55,,1.2,
3144.63,1.4,,
3144.88,,1.2,
3144.97,1.4,,
3145.21,,1.2,
3145.31,1.4,,
3145.55,,1.2,
3145.66,1.4,,
3145.89,,1.2,
3146.0,1.4,,
3146.22,,1.2,
3146.34,1.4,,
3146.56,,1.2,
3146.68,1.4,,
3146.9,,1.2,
3147.02,1.4,,
3147.23,,1.2,
3147.37,1.4,,
3147.57,,1.2,
3147.71,1.4,,
3147.9,,1.2,
3148.05,1.4,,
3148.24,,1.2,
3148.39,1.4,,
3148.57,,1.2,
3148.74,1.4,,
3148.91,,1.2,
3149.08,1.4,,
3149.24,,1.2,
3149.42,1.4,,
3149.57,,1.2,
3149.77,1.4,,
3149.91,,1.2,
3150.11,1.4,,
3150.25,,1.2,
3150.45,1.4,,
3150.58,,1.2,
3150.79,1.4,,
3150.92,,1.2,
3151.14,1.4,,
3151.25,,1.2,
3151.48,1.4,,
3151.59,,1.2,
3151.82,1.4,,
3151.92,,1.2,
3152.16,1.4,,
3152.26,,1.2,
3152.51,1.4,,
3152.59,,1.2,
3152.85,1.4,,
3152.93,,1.2,
3153.19,1.4,,
3153.26,,1.2,
3153.54,1.4,,
3153.6,,1.2,
3153.88,1.4,,
3153.94,,1.2,
3154.22,1.4,,
3154.27,,1.2,
3154.57,1.4,,
3154.61,,1.2,
3154.91,1.4,,
3154.94,,1.2,
3155.25,1.4,,
3155.28,,1.2,
3155.59,1.4,,
3155.61,,1.2,
3155.94,1.4,,
3155.94,,1.2,
3156.28,1.4,,
3156.28,,1.2,
3156.62,1.4,,
3156.62,,1.2,
3156.95,,1.2,
3156.96,1.4,,
3157.28,,1.2,
3157.3,1.4,,
3157.62,,1.2,
3157.64,1.4,,
3157.96,,1.2,
3157.99,1.4,,
3158.29,,1.2,
3158.33,1.4,,
3158.62,,1.2,
3158.67,1.4,,
3158.96,,1.2,
3159.01,1.4,,
3159.3,,1.2,
3159.35,1.4,,
3159.63,,1.2,
3159.7,1.4,,
3159.96,,1.2,
3160.04,1.4,,
3160.3,,1.2,
3160.38,1.4,,
3160.64,,1.2,
3160.72,1.4,,
3160.97,,1.2,
3161.06,1.4,,
3161.3,,1.2,
3161.4,1.4,,
3161.64,,1.2,
3161.74,1.4,,
3161.98,,1.2,
3162.09,1.4,,
3162.31,,1.2,
3162.43,1.4,,
3162.64,,1.2,
3162.77,1.4,,
3162.98,,1.2,
3163.11,1.4,,
3163.32,,1.2,
3163.45,1.4,,
3163.65,,1.2,
3163.79,1.4,,
3163.98,,1.2,
3164.14,1.4,,
3164.32,,1.2,
3164.48,1.4,,
3164.65,,1.2,
3164.82,1.4,,
3164.99,,1.2,
3165.16,1.4,,
3165.32,,1.2,
3165.5,1.4,,
3165.66,,1.2,
3165.85,1.4,,
3165.99,,1.2,
3166.19,1.4,,
3166.33,,1.2,
3166.53,1.4,,
3166.67,,1.2,
3166.87,1.4,,
3167.0,,1.2,
3167.21,1.4,,
3167.34,,1.2,
3167.55,1.4,,
3167.67,,1.2,
3167.9,1.4,,
3168.01,,1.2,
3168.24,1.4,,
3168.34,,1.2,
3168.58,1.4,,
3168.68,,1.2,
3168.92,1.4,,
3169.01,,1.2,
3169.26,1.4,,
3169.35,,1.2,
3169.6,1.4,,
3169.68,,1.2,
3169.95,1.4,,
3170.02,,1.2,
3170.29,1.4,,
3170.35,,1.2,
3170.63,1.4,,
3170.69,,1.2,
3170.97,1.4,,
3171.02,,1.2,
3171.31,1.4,,
3171.36,,1.2,
3171.66,1.4,,
3171.7,,1.2,
3172.0,1.4,,
3172.03,,1.2,
3172.34,1.4,,
3172.37,,1.2,
3172.68,1.4,,
3172.7,,1.2,
3173.02,1.4,,
3173.04,,1.2,
3173.36,1.4,,
3173.37,,1.2,
3173.7,1.4,,
3173.71,,1.2,
3174.04,1.4,,
3174.04,,1.2,
3174.38,,1.2,
3174.39,1.4,,
3174.71,,1.2,
3174.73,1.4,,
3175.05,,1.2,
3175.07,1.4,,
3175.38,,1.2,
3175.41,1.4,,
3175.72,,1.2,
3175.75,1.4,,
3176.05,,1.2,
3176.09,1.4,,
3176.39,,1.2,
3176.43,1.4,,
3176.73,,1.2,
3176.78,1.4,,
3177.06,,1.2,
3177.12,1.4,,
3177.4,,1.2,
3177.46,1.4,,
3177.74,,1.2,
3177.8,1.4,,
3178.07,,1.2,
3178.14,1.4,,
3178.4,,1.2,
3178.48,1.4,,
3178.74,,1.2,
3178.82,1.4,,
3179.08,,1.2,
3179.17,1.4,,
3179.41,,1.2,
3179.51,1.4,,
3179.74,,1.2,
3179.85,1.4,,
3180.08,,1.2,
3180.2,1.4,,
3180.42,,1.2,
3180.54,1.4,,
3180.75,,1.2,
3180.88,1.4,,
3181.08,,1.2,
3181.22,1.4,,
3181.42,,1.2,
3181.56,1.4,,
3181.76,,1.2,
3181.9,1.4,,
3182.1,,1.2,
3182.24,1.4,,
3182.43,,1.2,
3182.58,1.4,,
3182.76,,1.2,
3182.93,1.4,,
3183.1,,1.2,
3183.27,1.4,,
3183.44,,1.2,
3183.61,1.4,,
3183.77,,1.2,
3183.95,1.4,,
3184.1,,1.2,
3184.29,1.4,,
3184.44,,1.2,
3184.63,1.4,,
3184.78,,1.2,
3184.97,1.4,,
3185.12,,1.2,
3185.31,1.4,,
3185.45,,1.2,
3185.66,1.4,,
3185.78,,1.2,
3186.0,1.4,,
3186.12,,1.2,
3186.34,1.4,,
3186.46,,1.2,
3186.68,1.4,,
3186.79,,1.2,
3187.02,1.4,,
3187.12,,1.2,
3187.36,1.4,,
3187.46,,1.2,
3187.7,1.4,,
3187.8,,1.2,
3188.05,1.4,,
3188.13,,1.2,
3188.39,1.4,,
3188.46,,1.2,
3188.73,1.4,,
3188.8,,1.2,
3189.07,1.4,,
3189.13,,1.2,
3189.41,1.4,,
3189.47,,1.2,
3189.75,1.4,,
3189.8,,1.2,
3190.09,1.4,,
3190.14,,1.2,
3190.43,1.4,,
3190.47,,1.2,
3190.77,1.4,,
3190.81,,1.2,
3191.11,1.4,,
3191.14,,1.2,
3191.45,1.4,,
3191.48,,1.2,
3191.8,1.4,,
3191.83,,0.781,
3192.14,1.4,,
3192.48,1.4,,
3192.83,1.4,,
3193.17,1.4,,
3193.51,1.4,,
3193.85,1.4,,
3194.19,1.4,,
3194.54,1.4,,
3194.88,1.4,,
3195.22,1.4,,
3195.56,1.4,,
3195.9,1.4,,
3196.24,1.4,,
3196.58,1.4,,
3196.93,1.4,,
3197.27,1.4,,
3197.61,1.4,,
3197.95,1.4,,
3198.29,1.4,,
3198.63,1.4,,
3198.97,1.4,,
3199.31,1.4,,
3199.66,1.4,,
3200.0,1.4,,
3200.34,1.4,,
3200.68,1.4,,
3201.02,1.4,,
3201.36,1.4,,
3201.7,1.4,,
3202.04,1.4,,
3202.38,1.4,,
3202.73,1.4,,
3203.07,1.4,,
3203.41,1.4,,
3203.75,1.4,,
3204.09,1.4,,
3204.43,1.4,,
3204.77,1.4,,
3205.11,1.4,,
3205.45,1.4,,
3205.79,1.4,,
3206.14,1.4,,
3206.48,1.4,,
3206.82,1.4,,
3207.16,1.4,,
3207.5,1.4,,
3207.84,1.4,,
3208.18,1.4,,
3208.53,1.4,,
3208.87,1.4,,
3209.21,1.4,,
3209.55,1.4,,
3209.89,1.4,,
3210.23,1.4,,
3210.57,1.4,,
3210.92,1.4,,
3211.26,1.4,,
3211.6,1.4,,
3211.94,1.4,,
3212.28,1.4,,
3212.62,1.4,,
3212.96,1.4,,
3213.3,1.4,,
3213.65,1.4,,
3213.99,1.4,,
3214.33,1.4,,
3214.67,1.4,,
3215.01,1.4,,
3215.36,1.4,,
3215.7,1.4,,
3216.04,1.4,,
3216.38,1.4,,
3216.72,1.4,,
3217.06,1.4,,
3217.41,1.4,,
3217.75,1.4,,
3218.09,1.4,,
3218.44,1.4,,
3218.78,1.4,,
3219.12,1.4,,
3219.46,1.4,,
3219.8,1.4,,
3220.14,1.4,,
3220.48,1.4,,
3220.82,1.4,,
3221.17,1.4,,
3221.51,1.4,,
3221.85,1.4,,
3222.2,1.4,,
3222.54,1.4,,
3222.88,1.4,,
3223.22,1.4,,
3223.56,1.4,,
3223.9,1.4,,
3224.24,1.4,,
3224.58,1.4,,
3224.92,1.4,,
3225.27,1.4,,
3225.62,1.4,,
3225.95,1.4,,
3226.3,1.4,,
3226.64,1.4,,
3226.98,1.4,,
3227.32,1.4,,
3227.66,1.4,,
3228.0,1.4,,
3228.35,1.4,,
3228.69,1.4,,
3229.03,1.4,,
3229.37,1.4,,
3229.71,1.4,,
3230.05,1.4,,
3230.39,1.4,,
3230.73,1.4,,
3231.07,1.4,,
3231.41,1.4,,
3231.75,1.4,,
3232.09,1.4,,
3232.44,1.4,,
3232.78,1.4,,
3233.12,1.4,,
3233.46,1.4,,
3233.8,1.4,,
3234.14,1.4,,
3234.48,1.4,,
3234.83,1.4,,
3235.17,1.4,,
3235.51,1.4,,
3235.85,1.4,,
3236.19,1.4,,
3236.53,1.4,,
3236.87,1.4,,
3237.22,1.4,,
3237.56,1.4,,
3237.9,1.4,,
3238.24,1.4,,
3238.58,1.4,,
3238.92,1.4,,
3239.26,1.4,,
3239.61,1.4,,
3239.95,1.4,,
3240.29,1.4,,
3240.63,1.4,,
3240.97,1.4,,
3241.31,1.4,,
3241.65,1.4,,
3241.99,1.4,,
3242.33,1.4,,
3242.68,1.4,,
3243.02,1.4,,
3243.36,1.4,,
3243.7,1.4,,
3244.04,1.4,,
3244.38,1.4,,
3244.72,1.4,,
3245.06,1.4,,
3245.4,1.4,,
3245.74,1.4,,
3246.09,1.4,,
3246.43,1.4,,
3246.77,1.4,,
3247.11,1.4,,
3247.45,1.4,,
3247.8,1.4,,
3248.14,1.4,,
3248.48,1.4,,
3248.82,1.4,,
3249.16,1.4,,
3249.5,1.4,,
3249.85,1.4,,
3250.19,1.4,,
3250.53,1.4,,
3250.87,1.4,,
3251.21,1.4,,
3251.55,1.4,,
3251.9,1.4,,
3252.24,1.4,,
3252.58,1.4,,
3252.92,1.4,,
3253.26,1.4,,
3253.6,1.4,,
3253.95,1.4,,
3254.29,1.4,,
3254.63,1.4,,
3254.97,1.4,,
3255.31,1.4,,
3255.65,1.4,,
3256.0,1.4,,
3256.34,1.4,,
3256.68,1.4,,
3257.02,1.4,,
3257.36,1.4,,
3257.7,1.4,,
3258.05,1.4,,
3258.39,1.4,,
3258.73,1.4,,
3259.07,1.4,,
3259.42,1.4,,
3259.76,1.4,,
3260.1,1.4,,
3260.44,1.4,,
3260.78,1.4,,
3261.12,1.4,,
3261.47,1.4,,
3261.81,1.4,,
3262.15,1.4,,
3262.49,1.4,,
3262.83,1.4,,
3263.17,1.4,,
3263.52,1.4,,
3263.86,1.4,,
3264.2,1.4,,
3264.54,1.4,,
3264.88,1.4,,
3265.22,1.4,,
3265.57,1.4,,
3265.91,1.4,,
3266.25,1.4,,
3266.59,1.4,,
3266.93,1.4,,
3267.27,1.4,,
3267.61,1.4,,
3267.96,1.4,,
3268.3,1.4,,
3268.64,1.4,,
3268.98,1.4,,
3269.32,1.4,,
3269.66,1.4,,
3270.01,1.4,,
3270.35,1.4,,
3270.69,1.4,,
3271.03,1.4,,
3271.37,1.4,,
3271.71,1.4,,
3272.05,1.4,,
3272.4,1.4,,
3272.74,1.4,,
3273.08,1.4,,
3273.42,1.4,,
3273.76,1.4,,
3274.1,1.4,,
3274.44,1.4,,
3274.78,1.4,,
3275.12,1.4,,
3275.46,1.4,,
3275.81,1.4,,
3276.15,1.4,,
3276.49,1.4,,
3276.83,1.4,,
3277.17,1.4,,
3277.51,1.4,,
3277.85,1.4,,
3278.19,1.4,,
3278.54,1.4,,
3278.88,1.4,,
3279.22,1.4,,
3279.56,1.4,,
3279.9,1.4,,
3280.24,1.4,,
3280.58,1.4,,
3280.93,1.4,,
3281.27,1.4,,
3281.61,1.4,,
3281.95,1.4,,
3282.29,1.4,,
3282.64,1.4,,
3282.98,1.4,,
3283.32,1.4,,
3283.66,1.4,,
3284.0,1.4,,
3284.34,1.4,,
3284.69,1.4,,
3285.03,1.4,,
3285.37,1.4,,
3285.71,1.4,,
3286.05,1.4,,
3286.39,1.4,,
3286.73,1.4,,
3287.08,1.4,,
3287.42,1.4,,
3287.76,1.4,,
3288.1,1.4,,
3288.44,1.4,,
3288.78,1.4,,
3289.12,1.4,,
3289.47,1.4,,
3289.81,1.4,,
3290.15,1.4,,
3290.49,1.4,,
3290.83,1.4,,
3291.18,1.4,,
3291.52,1.4,,
3291.86,1.4,,
3292.2,1.4,,
3292.55,1.4,,
3292.89,1.4,,
3293.23,1.4,,
3293.58,1.4,,
3293.92,1.4,,
3294.26,1.4,,
3294.61,1.4,,
3294.95,1.4,,
3295.29,1.4,,
3295.64,1.4,,
3295.98,1.4,,
3296.32,1.4,,
3296.67,1.4,,
3297.03,1.4,,
3297.37,1.4,,
3297.71,1.4,,
3298.05,1.4,,
3298.4,1.4,,
3298.74,1.4,,
3299.08,1.4,,
3299.42,1.4,,
3299.76,1.4,,
3300.11,1.4,,
3300.45,1.4,,
3300.79,1.4,,
3301.14,1.4,,
3301.48,1.4,,
3301.82,1.4,,
3302.17,1.4,,
3302.51,1.4,,
3302.85,1.4,,
3303.19,1.4,,
3303.53,1.4,,
3303.88,1.4,,
3304.22,1.4,,
3304.56,1.4,,
3304.91,1.4,,
3305.26,1.4,,
3305.6,1.4,,
3305.94,1.4,,
3306.28,1.4,,
3306.62,1.4,,
3306.97,1.4,,
3307.31,1.4,,
3307.65,1.4,,
3307.99,1.4,,
3308.33,1.4,,
3308.67,1.4,,
3309.02,1.4,,
3309.36,1.4,,
3309.7,1.4,,
3310.05,1.4,,
3310.39,1.4,,
3310.74,1.4,,
3311.09,1.4,,
3311.43,1.4,,
3311.77,1.4,,
3312.12,1.4,,
3312.46,1.4,,
3312.8,1.4,,
3313.15,1.4,,
3313.49,1.4,,
3313.83,1.4,,
3314.18,1.4,,
3314.52,1.4,,
3314.87,1.4,,
3315.21,1.4,,
3315.55,1.4,,
3315.89,1.4,,
3316.24,1.4,,
3316.58,1.4,,
3316.93,1.4,,
3317.27,1.4,,
3317.61,1.4,,
3317.95,1.4,,
3318.3,1.4,,
3318.64,1.4,,
3318.98,1.4,,
3319.33,1.4,,
3319.67,1.4,,
3320.01,1.4,,
3320.35,1.4,,
3320.72,1.4,,
3321.06,1.4,,
3321.4,1.4,,
3321.76,1.4,,
3322.1,1.4,,
3322.44,1.4,,
3322.79,1.4,,
3323.13,1.4,,
3323.47,1.4,,
3323.82,1.4,,
3324.16,1.4,,
3324.51,1.4,,
3324.85,1.4,,
3325.19,1.4,,
3325.54,1.4,,
3325.88,1.4,,
3326.22,1.4,,
3326.57,1.4,,
3326.91,1.4,,
3327.26,1.4,,
3327.6,1.4,,
3327.94,1.4,,
3328.29,1.4,,
3328.63,1.4,,
3328.98,1.4,,
3329.32,1.4,,
3329.66,1.4,,
3330.0,1.4,,
3330.35,1.4,,
3330.69,1.4,,
3331.03,1.4,,
3331.38,1.4,,
3331.72,1.4,,
3332.07,1.4,,
3332.41,1.4,,
3332.75,1.4,,
3333.1,1.4,,
3333.44,1.4,,
3333.79,1.4,,
3334.13,1.4,,
3334.47,1.4,,
3334.82,1.4,,
3335.16,1.4,,
3335.5,1.4,,
3335.84,1.4,,
3336.18,1.4,,
3336.53,1.4,,
3336.87,1.4,,
3337.21,1.4,,
3337.55,1.4,,
3337.89,1.4,,
3338.23,1.4,,
3338.57,1.4,,
3338.91,1.4,,
3339.26,1.4,,
3339.6,1.4,,
3339.94,1.4,,
3340.28,1.4,,
3340.62,1.4,,
3340.96,1.4,,
3341.3,1.4,,
3341.65,1.4,,
3341.99,1.4,,
3342.33,1.4,,
3342.67,1.4,,
3343.01,1.4,,
3343.35,1.4,,
3343.7,1.4,,
3344.04,1.4,,
3344.38,1.4,,
3344.72,1.4,,
3345.06,1.4,,
3345.4,1.4,,
3345.74,1.4,,
3346.09,1.4,,
3346.43,1.4,,
3346.77,1.4,,
3347.11,1.4,,
3347.45,1.4,,
3347.79,1.4,,
3348.13,1.4,,
3348.48,1.4,,
3348.82,1.4,,
3349.16,1.4,,
3349.51,1.4,,
3349.85,1.4,,
3350.19,1.4,,
3350.53,1.4,,
3350.88,1.4,,
3351.22,1.4,,
3351.56,1.4,,
3351.9,1.4,,
3352.24,1.4,,
3352.58,1.4,,
3352.92,1.4,,
3353.26,1.4,,
3353.61,1.4,,
3353.95,1.4,,
3354.29,1.4,,
3354.63,1.4,,
3354.98,1.4,,
3355.32,1.4,,
3355.67,1.4,,
3356.01,1.4,,
3356.35,1.4,,
3356.69,1.4,,
3357.04,1.4,,
3357.38,1.4,,
3357.73,1.4,,
3358.07,1.4,,
3358.41,1.4,,
3358.75,1.4,,
3359.09,1.4,,
3359.44,1.4,,
3359.78,1.4,,
3360.12,1.4,,
3360.46,1.4,,
3360.81,1.4,,
3361.15,1.4,,
3361.49,1.4,,
3361.83,1.4,,
3362.17,1.4,,
3362.51,1.4,,
3362.86,1.4,,
3363.2,1.4,,
3363.54,1.4,,
3363.88,1.4,,
3364.22,1.4,,
3364.57,1.4,,
3364.91,1.4,,
3365.25,1.4,,
3365.6,1.4,,
3365.94,1.4,,
3366.28,1.4,,
3366.63,1.4,,
3366.97,1.4,,
3367.31,1.4,,
3367.66,1.4,,
3368.0,1.4,,
3368.35,1.4,,
3368.69,1.4,,
3369.03,1.4,,
3369.38,1.4,,
3369.72,1.4,,
3370.07,1.4,,
3370.41,1.4,,
3370.76,1.4,,
3371.1,1.4,,
3371.44,1.4,,
3371.79,1.4,,
3372.13,1.4,,
3372.48,1.4,,
3372.82,1.4,,
3373.16,1.4,,
3373.51,1.4,,
3373.85,1.4,,
3374.2,1.4,,
3374.54,1.4,,
3374.9,1.4,,
3375.24,1.4,,
3375.58,1.4,,
3375.93,1.4,,
3376.27,1.4,,
3376.62,1.4,,
3376.96,1.4,,
3377.31,1.4,,
3377.65,1.4,,
3377.99,1.4,,
3378.33,1.4,,
3378.67,1.4,,
3379.02,1.4,,
3379.36,1.4,,
3379.7,1.4,,
3380.04,1.4,,
3380.38,1.4,,
3380.72,1.4,,
3381.07,1.4,,
3381.41,1.4,,
3381.75,1.4,,
3382.09,1.4,,
3382.43,1.4,,
3382.77,1.4,,
3383.12,1.4,,
3383.46,1.4,,
3383.8,1.4,,
3384.14,1.4,,
3384.49,1.4,,
3384.83,1.4,,
3385.17,1.4,,
3385.51,1.4,,
3385.85,1.4,,
3386.2,1.4,,
3386.54,1.4,,
3386.88,1.4,,
3387.22,1.4,,
3387.57,1.4,,
3387.91,1.4,,
3388.25,1.4,,
3388.6,1.4,,
3388.94,1.4,,
3389.28,1.4,,
3389.63,1.4,,
3389.97,1.4,,
3390.32,1.4,,
3390.66,1.4,,
3391.01,1.4,,
3391.35,1.4,,
3391.7,1.4,,
3392.04,1.4,,
3392.38,1.4,,
3392.73,1.4,,
3393.08,1.4,,
3393.42,1.4,,
3393.77,1.4,,
3394.11,1.4,,
3394.46,1.4,,
3394.8,1.4,,
3395.14,1.4,,
3395.49,1.4,,
3395.83,1.4,,
3396.18,1.4,,
3396.52,1.4,,
3396.87,1.4,,
3397.21,1.4,,
3397.56,1.4,,
3397.9,1.4,,
3398.25,1.4,,
3398.59,1.4,,
3398.93,1.4,,
3399.27,1.4,,
3399.62,1.4,,
3399.96,1.4,,
3400.3,1.4,,
3400.64,1.4,,
3400.98,1.4,,
3401.32,1.4,,
3401.67,1.4,,
3402.01,1.4,,
3402.35,1.4,,
3402.69,1.4,,
3403.04,1.4,,
3403.38,1.4,,
3403.73,1.4,,
3404.07,1.4,,
3404.41,1.4,,
3404.76,1.4,,
3405.11,1.4,,
3405.44,1.4,,
3405.78,1.4,,
3406.13,1.4,,
3406.47,1.4,,
3406.81,1.4,,
3407.15,1.4,,
3407.5,1.4,,
3407.85,1.4,,
3408.19,1.4,,
3408.53,1.4,,
3408.87,1.4,,
3409.21,1.4,,
3409.55,1.4,,
3409.89,1.4,,
3410.23,1.4,,
3410.57,1.4,,
3410.91,1.4,,
3411.26,1.4,,
3411.6,1.4,,
3411.94,1.4,,
3412.28,1.4,,
3412.62,1.4,,
3412.97,1.4,,
3413.31,1.4,,
3413.65,1.4,,
3413.99,1.4,,
3414.33,1.4,,
3414.67,1.4,,
3415.02,1.4,,
3415.36,1.4,,
3415.7,1.4,,
3416.04,1.4,,
3416.38,1.4,,
3416.73,1.4,,
3417.07,1.4,,
3417.41,1.4,,
3417.75,1.4,,
3418.09,1.4,,
3418.44,1.4,,
3418.78,1.4,,
3419.12,1.4,,
3419.46,1.4,,
3419.8,1.4,,
3420.14,1.4,,
3420.49,1.4,,
3420.83,1.4,,
3421.17,1.4,,
3421.51,1.4,,
3421.85,1.4,,
3422.19,1.4,,
3422.53,1.4,,
3422.87,1.4,,
3423.22,1.4,,
3423.56,1.4,,
3423.9,1.4,,
3424.24,1.4,,
3424.58,1.4,,
3424.93,1.4,,
3425.27,1.4,,
3425.61,1.4,,
3425.95,1.4,,
3426.29,1.4,,
3426.63,1.4,,
3426.98,1.4,,
3427.32,1.4,,
3427.67,1.4,,
3428.0,1.4,,
3428.35,1.4,,
3428.69,1.4,,
3429.04,1.4,,
3429.38,1.4,,
3429.72,1.4,,
3430.07,1.4,,
3430.41,1.4,,
3430.76,1.4,,
3431.1,1.4,,
3431.44,1.4,,
3431.78,1.4,,
3432.12,1.4,,
3432.47,1.4,,
3432.81,1.4,,
3433.15,1.4,,
3433.49,1.4,,
3433.84,1.4,,
3434.18,1.4,,
3434.52,1.4,,
3434.86,1.4,,
3435.2,1.4,,
3435.54,1.4,,
3435.88,1.4,,
3436.23,1.4,,
3436.57,1.4,,
3436.91,1.4,,
3437.25,1.4,,
3437.59,1.4,,
3437.93,1.4,,
3438.28,1.4,,
3438.62,1.4,,
3438.96,1.4,,
3439.3,1.4,,
3439.64,1.4,,
3439.99,1.4,,
3440.33,1.4,,
3440.67,1.4,,
3441.01,1.4,,
3441.35,1.4,,
3441.69,1.4,,
3442.03,1.4,,
3442.38,1.4,,
3442.72,1.4,,
3443.06,1.4,,
3443.4,1.4,,
3443.74,1.4,,
3444.08,1.4,,
3444.42,1.4,,
3444.77,1.4,,
3445.11,1.4,,
3445.45,1.4,,
3445.8,1.4,,
3446.14,1.4,,
3446.48,1.4,,
3446.82,1.4,,
3447.16,1.4,,
3447.5,1.4,,
3447.85,1.4,,
3448.19,1.4,,
3448.53,1.4,,
3448.87,1.4,,
3449.21,1.4,,
3449.55,1.4,,
3449.9,1.4,,
3450.24,1.4,,
3450.58,1.4,,
3450.92,1.4,,
3451.27,1.4,,
3451.61,1.4,,
3451.96,1.4,,
3452.3,1.4,,
3452.64,1.4,,
3452.98,1.4,,
3453.33,1.4,,
3453.67,1.4,,
3454.01,1.4,,
3454.35,1.4,,
3454.69,1.4,,
3455.04,1.4,,
3455.38,1.4,,
3455.72,1.4,,
3456.06,1.4,,
3456.4,1.4,,
3456.75,1.4,,
3457.09,1.4,,
3457.43,1.4,,
3457.77,1.4,,
3458.12,1.4,,
3458.46,1.4,,
3458.8,1.4,,
3459.14,1.4,,
3459.49,1.4,,
3459.83,1.4,,
3460.17,1.4,,
3460.52,1.4,,
3460.86,1.4,,
3461.2,1.4,,
3461.55,1.4,,
3461.89,1.4,,
3462.23,1.4,,
3462.57,1.4,,
3462.91,1.4,,
3463.26,1.4,,
3463.6,1.4,,
3463.94,1.4,,
3464.28,1.4,,
3464.62,1.4,,
3464.96,1.4,,
3465.3,1.4,,
3465.65,1.4,,
3465.99,1.4,,
3466.33,1.4,,
3466.67,1.4,,
3467.01,1.4,,
3467.35,1.4,,
3467.69,1.4,,
3468.04,1.4,,
3468.38,1.4,,
3468.72,1.4,,
3469.07,1.4,,
3469.41,1.4,,
3469.75,1.4,,
3470.1,1.4,,
3470.44,1.4,,
3470.79,1.4,,
3471.13,1.4,,
3471.47,1.4,,
3471.81,1.4,,
3472.15,1.4,,
3472.5,1.4,,
3472.84,1.4,,
3473.18,1.4,,
3473.52,1.4,,
3473.86,1.4,,
3474.2,1.4,,
3474.55,1.4,,
3474.89,1.4,,
3475.23,1.4,,
3475.57,1.4,,
3475.91,1.4,,
3476.26,1.4,,
3476.6,1.4,,
3476.94,1.4,,
3477.28,1.4,,
3477.62,1.4,,
3477.96,1.4,,
3478.31,1.4,,
3478.65,1.4,,
3478.99,1.4,,
3479.33,1.4,,
3479.67,1.4,,
3480.02,1.4,,
3480.36,1.4,,
3480.7,1.4,,
3481.04,1.4,,
3481.38,1.4,,
3481.72,1.4,,
3482.07,1.4,,
3482.41,1.4,,
3482.75,1.4,,
3483.09,1.4,,
3483.43,1.4,,
3483.78,1.4,,
3484.12,1.4,,
3484.46,1.4,,
3484.81,1.4,,
3485.15,1.4,,
3485.49,1.4,,
3485.83,1.4,,
3486.17,1.4,,
3486.51,1.4,,
3486.86,1.4,,
3487.2,1.4,,
3487.54,1.4,,
3487.89,1.4,,
3488.23,1.4,,
3488.57,1.4,,
3488.91,1.4,,
3489.26,1.4,,
3489.6,1.4,,
3489.95,1.4,,
3490.29,1.4,,
3490.63,1.4,,
3490.97,1.4,,
3491.32,1.4,,
3491.66,1.4,,
3492.0,1.4,,
