hardware vs. memory (1000),,,
time+,buffalo,csel-kh1250-13,csel-kh1262-13
77.45,1.2,,
77.63,,1.1,
77.79,1.2,,
77.97,,1.1,
78.12,1.2,,
78.3,,1.1,
78.46,1.2,,
78.64,,1.1,
78.8,1.2,,
78.98,,1.1,
79.15,1.2,,
79.31,,1.1,
79.49,1.2,,
79.64,,1.1,
79.83,1.2,,
79.98,,1.1,
80.17,1.2,,
80.32,,1.1,
80.51,1.2,,
80.65,,1.1,
80.85,1.2,,
80.99,,1.1,
81.19,1.2,,
81.33,,1.1,
81.53,1.2,,
81.66,,1.1,
81.88,1.2,,
82.0,,1.1,
82.22,1.2,,
82.34,,1.1,
82.57,1.2,,
82.67,,1.1,
82.91,1.2,,
83.0,,1.1,
83.25,1.2,,
83.34,,1.1,
83.59,1.2,,
83.68,,1.1,
83.93,1.2,,
84.01,,1.1,
84.28,1.2,,
84.35,,1.1,
84.62,1.2,,
84.68,,1.1,
84.97,1.2,,
85.02,,1.1,
85.31,1.2,,
85.35,,1.1,
85.65,1.2,,
85.69,,1.1,
86.0,1.2,,
86.02,,1.1,
86.34,1.2,,
86.36,,1.1,
86.68,1.2,,
86.7,,1.1,
87.03,1.2,,
87.04,,1.1,
87.37,1.2,,
87.37,,1.1,
87.7,,1.1,
87.73,1.2,,
88.04,,1.1,
88.07,1.2,,
88.38,,1.1,
88.41,1.2,,
88.71,,1.1,
88.75,1.2,,
89.05,,1.1,
89.09,1.2,,
89.38,,1.1,
89.43,1.2,,
89.72,,1.1,
89.77,1.2,,
90.05,,1.1,
90.11,1.2,,
90.39,,1.1,
90.46,1.2,,
90.72,,1.1,
90.8,1.2,,
91.06,,1.1,
91.14,1.2,,
91.4,,1.1,
91.48,1.2,,
91.73,,1.1,
91.83,1.2,,
92.06,,1.1,
92.17,1.2,,
92.4,,1.1,
92.52,1.2,,
92.74,,1.1,
92.86,1.2,,
93.07,,1.1,
93.2,1.2,,
93.41,,1.1,
93.55,1.2,,
93.74,,1.1,
93.89,1.2,,
94.08,,1.1,
94.24,1.2,,
94.41,,1.1,
94.58,1.2,,
94.75,,1.1,
94.93,1.2,,
95.08,,1.1,
95.28,1.2,,
95.41,,1.1,
95.62,1.2,,
95.75,,1.1,
95.97,1.2,,
96.09,,1.1,
96.31,1.2,,
96.43,,1.1,
96.65,1.2,,
96.76,,1.1,
97.0,1.2,,
97.09,,1.1,
97.34,1.2,,
97.43,,1.1,
97.68,1.2,,
97.77,,1.1,
98.03,1.2,,
98.11,,1.1,
98.37,1.2,,
98.44,,1.1,
98.71,1.2,,
98.78,,1.1,
99.05,1.2,,
99.11,,1.1,
99.39,1.2,,
99.45,,1.1,
99.74,1.2,,
99.78,,1.1,
100.08,1.2,,
100.12,,1.1,
100.43,1.2,,
100.45,,1.1,
100.77,1.2,,
100.79,,1.1,
101.11,1.2,,
101.13,,1.1,
101.46,1.2,,
101.46,,1.1,
101.8,1.2,,
101.8,,1.1,
102.13,,1.1,
102.14,1.2,,
102.47,,1.1,
102.48,1.2,,
102.8,,1.1,
102.82,1.2,,
103.14,,1.1,
103.16,1.2,,
103.48,,1.1,
103.51,1.2,,
103.81,,1.1,
103.85,1.2,,
104.14,,1.1,
104.19,1.2,,
104.48,,1.1,
104.53,1.2,,
104.82,,1.1,
104.88,1.2,,
105.15,,1.1,
105.22,1.2,,
105.49,,1.1,
105.56,1.2,,
105.82,,1.1,
105.91,1.2,,
106.16,,1.1,
106.25,1.2,,
106.5,,1.1,
106.59,1.2,,
106.83,,1.1,
106.94,1.2,,
107.17,,1.1,
107.28,1.2,,
107.5,,1.1,
107.62,1.2,,
107.84,,1.1,
107.96,1.2,,
108.18,,1.1,
108.31,1.2,,
108.51,,1.1,
108.66,1.2,,
108.85,,1.1,
109.0,1.2,,
109.18,,1.1,
109.35,1.2,,
109.52,,1.1,
109.7,1.2,,
109.86,,1.1,
110.05,1.2,,
110.19,,1.1,
110.4,1.2,,
110.53,,1.1,
110.74,1.2,,
110.86,,1.1,
111.08,1.2,,
111.2,,1.1,
111.42,1.2,,
111.54,,1.1,
111.77,1.2,,
111.87,,1.1,
112.11,1.2,,
112.21,,1.1,
112.45,1.2,,
112.54,,1.1,
112.79,1.2,,
112.88,,1.1,
113.13,1.2,,
113.22,,1.1,
113.47,1.2,,
113.55,,1.1,
113.81,1.2,,
113.89,,1.1,
114.16,1.2,,
114.22,,1.1,
114.5,1.2,,
114.56,,1.1,
114.85,1.2,,
114.89,,1.1,
115.21,1.2,,
115.23,,1.1,
115.55,1.2,,
115.57,,1.1,
115.9,1.2,,
115.9,,1.1,
116.24,,1.1,
116.25,1.2,,
116.58,,1.1,
116.59,1.2,,
116.92,,1.1,
116.93,1.2,,
117.25,,1.1,
117.28,1.2,,
117.59,,1.1,
117.62,1.2,,
117.92,,1.1,
117.97,1.2,,
118.26,,1.1,
118.31,1.2,,
118.6,,1.1,
118.66,1.2,,
118.93,,1.1,
119.01,1.2,,
119.27,,1.1,
119.35,1.2,,
119.6,,1.1,
119.7,1.2,,
119.94,,1.1,
120.05,1.2,,
120.27,,1.1,
120.39,1.2,,
120.61,,1.1,
120.74,1.2,,
120.95,,1.1,
121.1,1.2,,
121.28,,1.1,
121.44,1.2,,
121.62,,1.1,
121.78,1.2,,
121.96,,1.1,
122.13,1.2,,
122.29,,1.1,
122.47,1.2,,
122.63,,1.1,
122.82,1.2,,
122.96,,1.1,
123.16,1.2,,
123.3,,1.1,
123.5,1.2,,
123.64,,1.1,
123.85,1.2,,
123.97,,1.1,
124.19,1.2,,
124.31,,1.1,
124.53,1.2,,
124.64,,1.1,
124.87,1.2,,
124.98,,1.1,
125.22,1.2,,
125.32,,1.1,
125.56,1.2,,
125.65,,1.1,
125.91,1.2,,
125.99,,1.1,
126.26,1.2,,
126.33,,1.1,
126.6,1.2,,
126.66,,1.1,
126.94,1.2,,
127.0,,1.1,
127.29,1.2,,
127.34,,1.1,
127.63,1.2,,
127.67,,1.1,
127.98,1.2,,
128.0,,1.1,
128.32,1.2,,
128.34,,1.1,
128.66,1.2,,
128.68,,1.1,
129.0,1.2,,
129.01,,1.1,
129.34,1.2,,
129.35,,1.1,
129.68,1.2,,
129.68,,1.1,
130.02,,1.1,
130.03,1.2,,
130.36,,1.1,
130.37,1.2,,
130.69,,1.1,
130.71,1.2,,
131.02,,1.1,
131.05,1.2,,
131.36,,1.1,
131.4,1.2,,
131.7,,1.1,
131.72,1.2,,
132.03,,1.1,
132.07,1.2,,
132.37,,1.1,
132.42,1.2,,
132.7,,1.1,
132.77,1.2,,
133.04,,1.1,
133.12,1.2,,
133.37,,1.1,
133.46,1.2,,
133.71,,1.1,
133.81,1.2,,
134.04,,1.1,
134.15,1.2,,
134.38,,1.1,
134.49,1.2,,
134.72,,1.1,
134.83,1.2,,
135.05,,1.1,
135.18,1.2,,
135.38,,1.1,
135.52,1.2,,
135.72,,1.1,
135.87,1.2,,
136.06,,1.1,
136.22,1.2,,
136.39,,1.1,
136.56,1.2,,
136.73,,1.1,
136.9,1.2,,
137.06,,1.1,
137.26,1.2,,
137.4,,1.1,
137.6,1.2,,
137.73,,1.1,
137.94,1.2,,
138.07,,1.1,
138.29,1.2,,
138.4,,1.1,
138.64,1.2,,
138.74,,1.1,
138.98,1.2,,
139.07,,1.1,
139.33,1.2,,
139.41,,1.1,
139.67,1.2,,
139.74,,1.1,
140.01,1.2,,
140.08,,1.1,
140.36,1.2,,
140.41,,1.1,
140.71,1.2,,
140.75,,1.1,
141.05,1.2,,
141.08,,1.1,
141.4,1.2,,
141.42,,1.1,
141.75,1.2,,
141.76,,1.1,
142.09,1.2,,
142.09,,1.1,
142.42,,1.1,
142.44,1.2,,
142.76,,1.1,
142.78,1.2,,
143.1,,1.1,
143.12,1.2,,
143.43,,1.1,
143.47,1.2,,
143.76,,1.1,
143.81,1.2,,
144.1,,1.1,
144.16,1.2,,
144.43,,1.1,
144.5,1.2,,
144.77,,1.1,
144.85,1.2,,
145.1,,1.1,
145.19,1.2,,
145.44,,1.1,
145.54,1.2,,
145.77,,1.1,
145.89,1.2,,
146.11,,1.1,
146.23,1.2,,
146.45,,1.1,
146.58,1.2,,
146.78,,1.1,
146.92,1.2,,
147.12,,1.1,
147.26,1.2,,
147.45,,1.1,
147.6,1.2,,
147.79,,1.1,
147.95,1.2,,
148.12,,1.1,
148.3,1.2,,
148.45,,1.1,
148.64,1.2,,
148.79,,1.1,
148.99,1.2,,
149.13,,1.1,
149.33,1.2,,
149.46,,1.1,
149.67,1.2,,
149.79,,1.1,
150.02,1.2,,
150.13,,1.1,
150.36,1.2,,
150.46,,1.1,
150.71,1.2,,
150.8,,1.1,
151.05,1.2,,
151.13,,1.1,
151.39,1.2,,
151.47,,1.1,
151.74,1.2,,
151.81,,1.1,
152.09,1.2,,
152.14,,1.1,
152.44,1.2,,
152.48,,1.1,
152.78,1.2,,
152.81,,1.1,
153.12,1.2,,
153.15,,1.1,
153.47,1.2,,
153.48,,1.1,
153.81,1.2,,
153.81,,1.1,
154.15,1.2,,
154.15,,1.1,
154.49,,1.1,
154.5,1.2,,
154.82,,1.1,
154.84,1.2,,
155.15,,1.1,
155.19,1.2,,
155.49,,1.1,
155.53,1.2,,
155.83,,1.1,
155.88,1.2,,
156.16,,1.1,
156.23,1.2,,
156.5,,1.1,
156.58,1.2,,
156.83,,1.1,
156.92,1.2,,
157.17,,1.1,
157.26,1.2,,
157.51,,1.1,
157.61,1.2,,
157.84,,1.1,
157.96,1.2,,
158.17,,1.1,
158.31,1.2,,
158.51,,1.1,
158.66,1.2,,
158.84,,1.1,
159.01,1.2,,
159.18,,1.1,
159.36,1.2,,
159.51,,1.1,
159.7,1.2,,
159.85,,1.1,
160.05,1.2,,
160.18,,1.1,
160.4,1.2,,
160.52,,1.1,
160.75,1.2,,
160.85,,1.1,
161.09,1.2,,
161.19,,1.1,
161.44,1.2,,
161.53,,1.1,
161.79,1.2,,
161.86,,1.1,
162.14,1.2,,
162.2,,1.1,
162.49,1.2,,
162.53,,1.1,
162.84,1.2,,
162.87,,1.1,
163.18,1.2,,
163.2,,1.1,
163.53,1.2,,
163.53,,1.1,
163.87,1.2,,
163.87,,1.1,
164.21,,1.1,
164.22,1.2,,
164.54,,1.1,
164.57,1.2,,
164.87,,1.1,
164.92,1.2,,
165.21,,1.1,
165.26,1.2,,
165.55,,1.1,
165.61,1.2,,
165.88,,1.1,
165.96,1.2,,
166.21,,1.1,
166.31,1.2,,
166.55,,1.1,
166.65,1.2,,
166.89,,1.1,
167.01,1.2,,
167.22,,1.1,
167.37,1.2,,
167.55,,1.1,
167.73,1.2,,
167.89,,1.1,
168.08,1.2,,
168.22,,1.1,
168.43,1.2,,
168.56,,1.1,
168.77,1.2,,
168.89,,1.1,
169.12,1.2,,
169.23,,1.1,
169.47,1.2,,
169.56,,1.1,
169.82,1.2,,
169.9,,1.1,
170.16,1.2,,
170.23,,1.1,
170.51,1.2,,
170.57,,1.1,
170.85,1.2,,
170.9,,1.1,
171.2,1.2,,
171.24,,1.1,
171.54,1.2,,
171.57,,1.1,
171.89,1.2,,
171.91,,1.1,
172.24,1.2,,
172.24,,1.1,
172.58,1.2,,
172.58,,1.1,
172.91,,1.1,
172.96,1.2,,
173.25,,1.1,
173.31,1.2,,
173.58,,1.1,
173.65,1.2,,
173.91,,1.1,
173.99,1.2,,
174.25,,1.1,
174.34,1.2,,
174.59,,1.1,
174.68,1.2,,
174.92,,1.1,
175.02,1.2,,
175.25,,1.1,
175.36,1.2,,
175.59,,1.1,
175.71,1.2,,
175.93,,1.1,
176.05,1.2,,
176.26,,1.1,
176.39,1.2,,
176.59,,1.1,
176.73,1.2,,
176.93,,1.1,
177.08,1.2,,
177.26,,1.1,
177.42,1.2,,
177.6,,1.1,
177.76,1.2,,
177.93,,1.1,
178.11,1.2,,
178.27,,1.1,
178.45,1.2,,
178.6,,1.1,
178.79,1.2,,
178.94,,1.1,
179.13,1.2,,
179.27,,1.1,
179.48,1.2,,
179.61,,1.1,
179.82,1.2,,
179.94,,1.1,
180.17,1.2,,
180.28,,1.1,
180.51,1.2,,
180.61,,1.1,
180.85,1.2,,
180.95,,1.1,
181.19,1.2,,
181.28,,1.1,
181.54,1.2,,
181.62,,1.1,
181.88,1.2,,
181.95,,1.1,
182.22,1.2,,
182.29,,1.1,
182.57,1.2,,
182.62,,1.1,
182.91,1.2,,
182.96,,1.1,
183.25,1.2,,
183.29,,1.1,
183.59,1.2,,
183.63,,1.1,
183.93,1.2,,
183.96,,1.1,
184.28,1.2,,
184.29,,1.1,
184.62,1.2,,
184.63,,1.1,
184.96,1.2,,
184.97,,1.1,
185.3,,1.1,
185.31,1.2,,
185.63,,1.1,
185.66,1.2,,
185.97,,1.1,
186.0,1.2,,
186.31,,1.1,
186.34,1.2,,
186.64,,1.1,
186.68,1.2,,
186.98,,1.1,
187.02,1.2,,
187.31,,1.1,
187.37,1.2,,
187.65,,1.1,
187.71,1.2,,
187.98,,1.1,
188.05,1.2,,
188.32,,1.1,
188.39,1.2,,
188.65,,1.1,
188.73,1.2,,
188.99,,1.1,
189.08,1.2,,
189.32,,1.1,
189.42,1.2,,
189.66,,1.1,
189.76,1.2,,
