Id,Label,timeset,group,calls,time,memory_in,memory_out
find_spec,find_spec,,find_spec,1805,0.165382,0,0
Lab.Droplet.Get_Shadow,Lab.Droplet.Get_Shadow,,Lab,1043,0.16518,0,0
pandas.core.groupby.<module>,pandas.core.groupby.<module>,,pandas,1,0.160008,0,0
_get_spec,_get_spec,,_get_spec,599,0.158869,0,0
pandas.core.groupby.generic.<module>,pandas.core.groupby.generic.<module>,,pandas,1,0.158787,0,0
matplotlib.image.<module>,matplotlib.image.<module>,,matplotlib,1,0.157735,0,0
matplotlib.textpath.<module>,matplotlib.textpath.<module>,,matplotlib,1,0.154446,0,0
pandas.compat.<module>,pandas.compat.<module>,,pandas,1,0.149804,0,0
Lab.Lab.__init__,Lab.Lab.__init__,,Lab,1,0.149387,0,0
mpl_toolkits.mplot3d.axis3d.<module>,mpl_toolkits.mplot3d.axis3d.<module>,,mpl_toolkits,1,0.146175,0,0
Scheduler.<listcomp>,Scheduler.<listcomp>,,Scheduler,2516,0.143007,0,0
matplotlib.text.<module>,matplotlib.text.<module>,,matplotlib,1,0.141265,0,0
matplotlib.axes._axes.Axes,matplotlib.axes._axes.Axes,,matplotlib,1,0.140632,0,0
SourceFileLoader.get_code,SourceFileLoader.get_code,,SourceFileLoader,512,0.139051,0,0
Lab.Droplet.<listcomp>,Lab.Droplet.<listcomp>,,Lab,1755,0.138979,0,0
AStar.<genexpr>,AStar.<genexpr>,,AStar,15324,0.134718,0,0
inspect.<genexpr>,inspect.<genexpr>,,inspect,28450,0.134465,0,0
matplotlib.lines.<module>,matplotlib.lines.<module>,,matplotlib,1,0.133154,0,0
numpy.core.multiarray.<module>,numpy.core.multiarray.<module>,,numpy,1,0.131565,0,0
FileFinder.find_spec,FileFinder.find_spec,,FileFinder,856,0.130405,0,0
numpy.core.overrides.<module>,numpy.core.overrides.<module>,,numpy,1,0.129244,0,0
pandas.compat.numpy.<module>,pandas.compat.numpy.<module>,,pandas,1,0.12571,0,0
matplotlib.quiver.<module>,matplotlib.quiver.<module>,,matplotlib,1,0.125681,0,0
matplotlib._rc_params_in_file,matplotlib._rc_params_in_file,,matplotlib,30,0.124729,0,0
pandas.core.arrays.<module>,pandas.core.arrays.<module>,,pandas,1,0.122687,0,0
numpy.compat.<module>,numpy.compat.<module>,,numpy,1,0.121375,0,0
pandas.util.<module>,pandas.util.<module>,,pandas,1,0.117865,0,0
Lab.Droplet.Update_Gridpoints,Lab.Droplet.Update_Gridpoints,,Lab,325,0.116447,0,0
pandas.core.frame.<module>,pandas.core.frame.<module>,,pandas,1,0.110349,0,0
numpy.compat._pep440.<module>,numpy.compat._pep440.<module>,,numpy,1,0.108167,0,0
numpy.compat._pep440.Version,numpy.compat._pep440.Version,,numpy,1,0.102459,0,0
AStar.Dist,AStar.Dist,,AStar,23170,0.101618,0,0
