time+,virt,%cpu,total-runtime
212.1,1.465,12.5,
212.43,1.465,12.5,
212.77,1.465,12.5,
213.11,1.465,12.5,
213.44,1.465,12.5,
213.78,1.465,12.5,
214.11,1.465,12.5,
214.45,1.465,12.5,
214.79,1.465,12.5,
215.12,1.465,12.5,
215.45,1.465,12.5,
215.79,1.465,12.5,
216.13,1.465,12.5,
216.46,1.465,12.5,
216.79,1.465,12.5,
217.13,1.465,12.5,
217.47,1.465,12.5,
217.81,1.465,12.5,
218.14,1.465,12.5,
218.47,1.465,12.5,
218.81,1.465,12.5,
219.15,1.465,13.8,
219.48,1.465,12.5,
219.81,1.465,12.5,
220.15,1.465,12.5,
220.48,1.465,12.5,
220.82,1.465,12.5,
221.15,1.465,11.4,
221.49,1.465,12.5,
221.83,1.465,11.4,
222.16,1.465,12.5,
222.49,1.465,12.5,
222.83,1.465,12.5,
223.17,1.465,12.5,
223.5,1.465,12.5,
223.83,1.465,12.5,
224.17,1.465,12.5,
224.5,1.465,12.5,
224.84,1.465,12.5,
225.17,1.465,12.5,
225.51,1.465,12.5,
225.84,1.465,12.5,
226.18,1.465,12.5,
226.51,1.465,12.5,
226.85,1.465,12.5,
227.18,1.465,12.5,
227.52,1.465,12.5,
227.85,1.465,12.5,
228.19,1.465,12.5,
228.52,1.465,12.5,
228.86,1.465,12.5,
229.19,1.465,12.5,
229.53,1.465,12.5,
229.86,1.465,12.5,
230.2,1.465,12.5,
230.53,1.465,12.5,
230.87,1.465,12.5,
231.2,1.465,12.5,
231.53,1.465,11.4,
231.87,1.465,12.5,
232.21,1.465,12.5,
232.54,1.465,12.5,
232.88,1.465,12.5,
233.22,1.465,12.5,
233.55,1.465,12.5,
233.89,1.465,12.5,
234.22,1.465,12.5,
234.55,1.465,12.5,
234.89,1.465,12.5,
235.23,1.465,13.8,
235.56,1.465,12.5,
235.89,1.465,12.5,
236.23,1.465,12.5,
236.56,1.465,12.5,
236.9,1.465,12.5,
237.23,1.465,12.5,
237.57,1.465,12.5,
237.91,1.465,12.5,
238.25,1.465,13.8,
238.58,1.465,12.5,
238.91,1.465,12.5,
239.25,1.465,12.5,
239.58,1.465,12.5,
239.92,1.465,12.5,
240.25,1.465,12.5,
240.59,1.465,12.5,
240.92,1.465,12.5,
241.26,1.465,12.5,
241.59,1.465,12.5,
241.93,1.465,12.5,
242.26,1.465,12.5,
242.6,1.465,12.5,
242.94,1.465,12.5,
243.27,1.465,12.5,
243.61,1.465,12.5,
243.94,1.465,12.5,
244.27,1.465,11.4,
244.61,1.465,12.5,
244.95,1.465,12.5,
245.28,1.465,12.5,
245.61,1.465,11.4,
245.95,1.465,12.5,
246.29,1.465,12.5,
246.62,1.465,12.5,
246.95,1.465,12.5,
247.29,1.465,12.5,
247.63,1.465,12.5,
247.97,1.465,12.5,
248.3,1.465,12.5,
248.63,1.465,12.5,
248.97,1.465,12.5,
249.3,1.465,12.5,
249.64,1.465,12.5,
249.97,1.465,12.5,
250.31,1.465,12.5,
250.64,1.465,12.5,
250.98,1.465,12.5,
251.31,1.465,12.5,
251.64,1.465,12.5,
251.98,1.465,12.5,
252.32,1.465,12.5,
252.65,1.465,12.5,
252.98,1.465,12.5,
253.32,1.465,12.5,
253.65,1.465,12.5,
253.99,1.465,12.5,
254.32,1.465,12.5,
254.66,1.465,12.5,
254.99,1.465,12.5,
255.33,1.465,12.5,
255.66,1.465,12.5,
256.0,1.465,12.5,
256.33,1.465,12.5,
256.67,1.465,12.5,
257.0,1.465,12.5,
257.34,1.465,12.5,
257.67,1.465,12.5,
258.01,1.465,12.5,
258.35,1.465,13.8,
258.68,1.465,12.5,
259.02,1.465,12.5,
259.35,1.465,12.5,
259.68,1.465,12.5,
260.02,1.465,12.5,
260.36,1.465,13.8,
260.69,1.465,12.5,
261.02,1.465,11.4,
261.36,1.465,12.5,
261.7,1.465,12.5,
262.03,1.465,12.5,
262.36,1.465,12.5,
262.7,1.465,12.5,
263.04,1.465,12.5,
263.38,1.465,12.5,
263.71,1.465,12.5,
264.04,1.465,12.5,
264.38,1.465,12.5,
264.72,1.465,12.5,
265.06,1.465,12.5,
265.39,1.465,12.5,
265.72,1.465,12.5,
266.06,1.465,12.5,
266.4,1.465,12.5,
266.73,1.465,12.5,
267.07,1.465,12.5,
267.4,1.465,12.5,
267.74,1.465,12.5,
268.07,1.465,12.5,
268.41,1.465,12.5,
268.74,1.465,12.5,
269.08,1.465,12.5,
269.42,1.465,12.5,
269.76,1.465,12.5,
270.09,1.465,12.5,
270.43,1.465,12.5,
270.76,1.465,12.5,
271.1,1.465,12.5,
271.43,1.465,12.5,
271.77,1.465,12.5,
272.1,1.465,12.5,
272.44,1.465,12.5,
272.78,1.465,13.8,
273.11,1.465,12.5,
273.44,1.465,12.5,
273.78,1.465,12.5,
274.12,1.465,12.5,
274.46,1.465,12.5,
274.79,1.465,12.5,
275.13,1.465,12.5,
275.46,1.465,12.5,
275.8,1.465,12.5,
276.13,1.465,12.5,
276.47,1.465,12.5,
276.8,1.465,12.5,
277.14,1.465,12.5,
277.48,1.465,13.8,
277.81,1.465,11.4,
278.15,1.465,12.5,
278.48,1.465,12.5,
278.82,1.465,12.5,
279.16,1.465,12.5,
279.49,1.465,12.5,
279.83,1.465,13.8,
280.16,1.465,12.5,
280.5,1.465,12.5,
280.83,1.465,12.5,
281.17,1.465,12.5,
281.5,1.465,12.5,
281.84,1.465,12.5,
282.17,1.465,12.5,
282.51,1.465,12.5,
282.84,1.465,12.5,
283.18,1.465,12.5,
283.52,1.465,12.5,
283.85,1.465,12.5,
284.19,1.465,12.5,
284.52,1.465,12.5,
284.86,1.465,12.5,
285.19,1.465,12.5,
285.53,1.465,12.5,
285.86,1.465,12.5,
286.2,1.465,12.5,
286.53,1.465,12.5,
286.87,1.465,12.5,
287.2,1.465,11.4,
287.54,1.465,12.5,
287.88,1.465,12.5,
288.21,1.465,12.5,
288.55,1.465,12.5,
288.88,1.465,12.5,
289.22,1.465,12.5,
289.56,1.465,12.5,
289.89,1.465,12.5,
290.23,1.465,12.5,
290.56,1.465,12.5,
290.89,1.465,11.2,
291.23,1.465,12.5,
291.57,1.465,12.5,
291.9,1.465,12.5,
292.24,1.465,12.5,
292.57,1.465,12.5,
292.91,1.465,12.5,
293.25,1.465,12.5,
293.59,1.465,12.5,
293.92,1.465,12.5,
294.25,1.465,12.5,
294.59,1.465,12.5,
295.13,1.465,11.4,
295.47,1.465,12.5,
295.8,1.465,12.5,
296.14,1.465,12.5,
296.47,1.465,12.5,
296.81,1.465,12.5,
297.14,1.465,12.5,
297.48,1.465,12.5,
297.81,1.465,12.5,
298.15,1.465,12.5,
298.49,1.465,12.5,
298.82,1.465,12.5,
299.16,1.465,13.8,
299.49,1.465,12.5,
299.83,1.465,12.5,
300.16,1.465,12.5,
300.5,1.465,12.5,
300.83,1.465,12.5,
301.17,1.465,12.5,
301.51,1.465,12.5,
301.84,1.465,12.5,
302.18,1.465,12.5,
302.51,1.465,11.4,
302.85,1.465,12.5,
303.19,1.465,12.5,
303.52,1.465,12.5,
303.86,1.465,12.5,
304.19,1.465,12.5,
304.53,1.465,12.5,
304.86,1.465,12.5,
305.2,1.465,12.5,
305.53,1.465,12.5,
305.87,1.465,12.5,
306.2,1.465,12.5,
306.54,1.465,12.5,
306.87,1.465,12.5,
307.21,1.465,12.5,
307.54,1.465,12.5,
307.88,1.465,12.5,
308.21,1.465,12.5,
308.55,1.465,12.5,
308.88,1.465,12.5,
309.22,1.465,12.5,
309.55,1.465,11.4,
309.89,1.465,12.5,
310.22,1.465,12.5,
310.55,1.465,12.5,
310.89,1.465,12.5,
311.23,1.465,12.5,
311.56,1.465,12.5,
311.89,1.465,12.5,
312.23,1.465,12.5,
312.57,1.465,13.8,
312.9,1.465,12.5,
313.23,1.465,12.5,
313.57,1.465,12.5,
313.9,1.465,12.5,
314.24,1.465,12.5,
314.57,1.465,12.5,
314.91,1.465,12.5,
315.24,1.465,12.5,
315.58,1.465,13.8,
315.91,1.465,12.5,
316.25,1.465,12.5,
316.58,1.465,12.5,
316.91,1.465,12.5,
317.25,1.465,12.5,
317.59,1.465,12.5,
317.92,1.465,12.5,
318.26,1.465,12.5,
318.59,1.465,12.5,
318.93,1.465,12.5,
319.27,1.465,12.5,
319.6,1.465,12.5,
319.93,1.465,12.5,
320.27,1.465,12.5,
320.6,1.465,12.5,
320.94,1.465,12.5,
321.27,1.465,12.5,
321.61,1.465,12.5,
321.94,1.465,12.5,
322.28,1.465,12.5,
