gridsize vs. memory,,,,,,,,,,,
time+,gs=500,gs=600,gs=700,gs=800,gs=900,gs=1000,gs=1100,gs=1200,gs=1300,gs=1400,gs=1500
9.37,,,,,,,,1.4,,,
9.38,,,0.513,,,,,,,,
9.43,,,,,,,,,,,1.5
9.6,0.312,,,,,,,,,,
9.63,,,,,0.819,,,,,,
9.63,,,,,,,1.2,,,,
9.66,,,,0.647,,,,,,,
9.67,,,,,,,,,1.5,,
9.69,,0.407,,,,,,,,,
9.69,,,,,,,,,,1.5,
9.7,,,,,,1.0,,,,,
9.71,,,0.514,,,,,,,,
9.71,,,,,,,,1.4,,,
9.76,,,,,,,,,,,1.6
9.94,0.319,,,,,,,,,,
9.96,,,,,0.819,,,,,,
9.96,,,,,,,1.2,,,,
9.99,,,,0.647,,,,,,,
10.0,,,,,,,,,1.7,,
10.02,,0.408,,,,,,,,,
10.03,,,,,,,,,,1.6,
10.04,,,0.515,,,,,,,,
10.04,,,,,,1.0,,,,,
10.04,,,,,,,,1.4,,,
10.1,,,,,,,,,,,1.7
10.27,0.319,,,,,,,,,,
10.29,,,,,0.819,,,,,,
10.3,,,,,,,1.2,,,,
10.32,,,,0.647,,,,,,,
10.34,,,,,,,,,1.6,,
10.36,,0.41,,,,,,,,,
10.36,,,,,,,,,,1.7,
10.37,,,,,,1.0,,,,,
10.37,,,,,,,,1.4,,,
10.38,,,0.517,,,,,,,,
10.43,,,,,,,,,,,1.8
10.6,0.319,,,,,,,,,,
10.63,,,,,0.819,,,,,,
10.63,,,,,,,1.2,,,,
10.65,,,,0.647,,,,,,,
10.67,,,,,,,,,1.6,,
10.69,,0.411,,,,,,,,,
10.7,,,,,,1.0,,,,,
10.7,,,,,,,,,,1.8,
10.71,,,0.518,,,,,,,,
10.71,,,,,,,,1.4,,,
10.77,,,,,,,,,,,1.8
10.94,0.326,,,,,,,,,,
10.96,,,,,0.819,,,,,,
10.96,,,,,,,1.2,,,,
10.99,,,,0.647,,,,,,,
11.0,,,,,,,,,1.6,,
11.02,,0.413,,,,,,,,,
11.02,,,,,,,,,,1.9,
11.03,,,,,,1.0,,,,,
11.04,,,,,,,,1.4,,,
11.05,,,0.52,,,,,,,,
11.1,,,,,,,,,,,1.8
11.27,0.326,,,,,,,,,,
11.29,,,,,0.819,,,,,,
11.29,,,,,,,1.2,,,,
11.32,,,,0.647,,,,,,,
11.34,,,,,,,,,1.6,,
11.35,,0.414,,,,,,,,,
11.36,,,,,,1.0,,,,,
11.36,,,,,,,,,,1.9,
11.37,,,,,,,,1.4,,,
11.38,,,0.521,,,,,,,,
11.44,,,,,,,,,,,1.8
11.6,0.326,,,,,,,,,,
11.62,,,,,,,1.2,,,,
11.63,,,,,0.819,,,,,,
11.65,,,,0.647,,,,,,,
11.67,,,,,,,,,1.6,,
11.68,,0.416,,,,,,,,,
11.69,,,,,,1.0,,,,,
11.69,,,,,,,,,,1.9,
11.71,,,,,,,,1.4,,,
11.72,,,0.523,,,,,,,,
11.77,,,,,,,,,,,1.9
11.93,0.326,,,,,,,,,,
11.96,,,,,0.819,,,,,,
11.96,,,,,,,1.2,,,,
11.99,,,,0.647,,,,,,,
12.0,,,,,,,,,1.6,,
12.02,,0.418,,,,,,,,,
12.02,,,,,,,,,,1.9,
12.03,,,,,,1.0,,,,,
12.04,,,,,,,,1.4,,,
12.05,,,0.524,,,,,,,,
12.09,,,,,,,,,,,2.0
12.26,0.326,,,,,,,,,,
12.29,,,,,,,1.2,,,,
12.31,,,,,0.819,,,,,,
12.32,,,,0.648,,,,,,,
12.33,,,,,,,,,1.6,,
12.35,,0.419,,,,,,,,,
12.35,,,,,,,,,,1.9,
12.36,,,,,,1.0,,,,,
12.37,,,,,,,,1.4,,,
12.38,,,0.526,,,,,,,,
12.44,,,,,,,,,,,2.1
