,,,,,,,,,,gridsize,nDroplets,congestion,,,,,,,,,,,,,,gridsize,nDroplets,congestion,,,,,,,,,,,,,,gridsize,nDroplets,congestion,
,,,,,,,,,,50,9,0.0036,,,,,,,,,,,,,,76,21,0.003635734072,,,,,,,,,,,,,,96,33,0.003580729167,
Id,Label,timeset,group,calls,time,memory_in,memory_out,,,,,,,,,Id,Label,timeset,group,calls,time,memory_in,memory_out,,,,,,,,,Id,Label,timeset,group,calls,time,memory_in,memory_out,,,,,,
matplotlib.collections.<module>,matplotlib.collections.<module>,,matplotlib,1,0.818362,0,0,,,,,,,,,matplotlib.axes.<module>,matplotlib.axes.<module>,,matplotlib,1,1.128953,0,0,,,,,,,,,pyparsing.<module>,pyparsing.<module>,,pyparsing,1,1.595404,0,0,,,,,,
sre_compile._code,sre_compile._code,,sre_compile,246,0.781172,0,0,,,,,,,,,matplotlib.axes._subplots.<module>,matplotlib.axes._subplots.<module>,,matplotlib,1,1.127967,0,0,,,,,,,,,pyparsing.core.Regex.__init__,pyparsing.core.Regex.__init__,,pyparsing,84,1.467062,0,0,,,,,,
Scheduler.Scheduler.Route_Droplets,Scheduler.Scheduler.Route_Droplets,,Scheduler,191,0.750226,0,0,,,,,,,,,matplotlib.axes._axes.<module>,matplotlib.axes._axes.<module>,,matplotlib,1,1.065261,0,0,,,,,,,,,Scheduler.Scheduler.Advance_Node_Instructions,Scheduler.Scheduler.Advance_Node_Instructions,,Scheduler,1577,1.419143,0,0,,,,,,
ExtensionFileLoader.exec_module,ExtensionFileLoader.exec_module,,ExtensionFileLoader,68,0.71282,0,0,,,,,,,,,Lab.Droplet.Find_Gradient,Lab.Droplet.Find_Gradient,,Lab,2106,1.043323,0,0,,,,,,,,,Scheduler.Scheduler.Generate_Active_Gridpoints,Scheduler.Scheduler.Generate_Active_Gridpoints,,Scheduler,4790,1.381072,0,0,,,,,,
matplotlib.docstring._ArtistPropertiesSubstitution.__call__,matplotlib.docstring._ArtistPropertiesSubstitution.__call__,,matplotlib,230,0.699034,0,0,,,,,,,,,matplotlib.contour.<module>,matplotlib.contour.<module>,,matplotlib,1,1.021895,0,0,,,,,,,,,Lab.Droplet.Update_Gridpoints,Lab.Droplet.Update_Gridpoints,,Lab,2863,1.240267,0,0,,,,,,
matplotlib.widgets.<module>,matplotlib.widgets.<module>,,matplotlib,1,0.658803,0,0,,,,,,,,,Lab.Droplet.Get_Shadow,Lab.Droplet.Get_Shadow,,Lab,4191,1.020799,0,0,,,,,,,,,inspect.getdoc,inspect.getdoc,,inspect,33099,1.215945,0,0,,,,,,
matplotlib.patches.<module>,matplotlib.patches.<module>,,matplotlib,1,0.647254,0,0,,,,,,,,,pyparsing.helpers.<module>,pyparsing.helpers.<module>,,pyparsing,1,1.008615,0,0,,,,,,,,,Scheduler.Scheduler.<listcomp>,Scheduler.Scheduler.<listcomp>,,Scheduler,1827,1.214058,0,0,,,,,,
AStar.Get_Route,AStar.Get_Route,,AStar,19,0.637196,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.__init__,matplotlib.artist.ArtistInspector.__init__,,matplotlib,216,0.966806,0,0,,,,,,,,,AStar.Dist,AStar.Dist,,AStar,434491,1.206717,0,0,,,,,,
mpl_toolkits.mplot3d.<module>,mpl_toolkits.mplot3d.<module>,,mpl_toolkits,1,0.605712,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.get_aliases,matplotlib.artist.ArtistInspector.get_aliases,,matplotlib,216,0.963134,0,0,,,,,,,,,inspect._signature_from_function,inspect._signature_from_function,,inspect,8616,1.192025,0,0,,,,,,
mpl_toolkits.mplot3d.axes3d.<module>,mpl_toolkits.mplot3d.axes3d.<module>,,mpl_toolkits,1,0.6041,0,0,,,,,,,,,inspect.cleandoc,inspect.cleandoc,,inspect,32046,0.935709,0,0,,,,,,,,,matplotlib.artist.ArtistInspector.is_alias,matplotlib.artist.ArtistInspector.is_alias,,matplotlib,27386,1.162281,0,0,,,,,,
pandas.<module>,pandas.<module>,,pandas,1,0.567553,0,0,,,,,,,,,Lab.Droplet.<listcomp>,Lab.Droplet.<listcomp>,,Lab,6858,0.914392,0,0,,,,,,,,,sre_parse.parse,sre_parse.parse,,sre_parse,246,1.143007,0,0,,,,,,
matplotlib.artist.ArtistInspector.get_valid_values,matplotlib.artist.ArtistInspector.get_valid_values,,matplotlib,4000,0.545022,0,0,,,,,,,,,matplotlib.backend_bases.<module>,matplotlib.backend_bases.<module>,,matplotlib,1,0.829489,0,0,,,,,,,,,matplotlib.axes.<module>,matplotlib.axes.<module>,,matplotlib,1,1.128569,0,0,,,,,,
Lab.Gridpoint.Advance,Lab.Gridpoint.Advance,,Lab,477500,0.51714,0,0,,,,,,,,,matplotlib.collections.<module>,matplotlib.collections.<module>,,matplotlib,1,0.822703,0,0,,,,,,,,,matplotlib.axes._subplots.<module>,matplotlib.axes._subplots.<module>,,matplotlib,1,1.127572,0,0,,,,,,
pyparsing.common.<module>,pyparsing.common.<module>,,pyparsing,1,0.51466,0,0,,,,,,,,,sre_compile._code,sre_compile._code,,sre_compile,246,0.787093,0,0,,,,,,,,,Scheduler.Scheduler.Forbidden_Gridpoint,Scheduler.Scheduler.Forbidden_Gridpoint,,Scheduler,486,1.070341,0,0,,,,,,
pyparsing.common.pyparsing_common,pyparsing.common.pyparsing_common,,pyparsing,1,0.513714,0,0,,,,,,,,,Lab.<listcomp>,Lab.<listcomp>,,Lab,101475,0.767751,0,0,,,,,,,,,matplotlib.axes._axes.<module>,matplotlib.axes._axes.<module>,,matplotlib,1,1.065393,0,0,,,,,,
